EmployeeMonthID,EmployeeID,EmployeeName,Gender,BirthDate,HireDate,ExitDate,EmploymentStatus,PriorExperienceYears,JobLevel,DepartmentID,DepartmentName,JobRoleID,JobTitle,MonthStartDate,ActiveWorkDays,MonthlySalaryRate,SalaryPaid,BonusAmount,OvertimeHours,AbsenceDays,TrainingHours,PerformanceScore
EMP0001-2024-01,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-01-01,23,13363.55,13363.55,0,4,1,6,3
EMP0001-2024-02,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-02-01,21,13363.55,13363.55,0,21,1,0,4
EMP0001-2024-03,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-03-01,21,13363.55,13363.55,0,3,0,8,3
EMP0001-2024-04,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-04-01,22,13363.55,13363.55,0,3,0,12,3
EMP0001-2024-05,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-05-01,23,13363.55,13363.55,584.45,9,3,1,3
EMP0001-2024-06,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-06-01,20,13363.55,13363.55,0,23,1,7,3
EMP0001-2024-07,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-07-01,23,13363.55,13363.55,0,3,2,11,3
EMP0001-2024-08,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-08-01,22,13363.55,13363.55,0,0,0,1,3
EMP0001-2024-09,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-09-01,21,13363.55,13363.55,0,3,3,2,2
EMP0001-2024-10,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-10-01,23,13363.55,13363.55,0,1,2,0,2
EMP0001-2024-11,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-11-01,21,13363.55,13363.55,0,8,0,2,3
EMP0001-2024-12,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2024-12-01,22,13363.55,13363.55,1859.18,0,0,2,3
EMP0001-2025-01,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2025-01-01,23,14256.71,14256.71,1501.55,20,0,15,3
EMP0001-2025-02,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2025-02-01,20,14256.71,14256.71,0,0,1,2,3
EMP0001-2025-03,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2025-03-01,21,14256.71,14256.71,0,26,1,4,3
EMP0001-2025-04,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2025-04-01,22,14256.71,14256.71,0,0,0,0,2
EMP0001-2025-05,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2025-05-01,22,14256.71,14256.71,0,0,0,0,3
EMP0001-2025-06,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2025-06-01,21,14256.71,14256.71,0,0,1,0,3
EMP0001-2025-07,EMP0001,Anton Guisse,Male,1995-10-02,2021-01-11,,Active,5,2,DEP05,Marketing,JOB10,Marketing Analyst,2025-07-01,23,14256.71,14256.71,1555.14,24,1,2,4
